Type,Name,Wikidata ID,Description,Image,Reference,Government Position,Private Sector Position,State
Person,Pete Olson,Q2073303,,,,Representative,,TX
Person,Steven M. Palazzo,Q24230,,,,Representative,,MS
Person,"Frank Pallone, Jr.",Q965289,,,,Representative,,NJ
Person,"Bill Pascrell, Jr.",Q529090,,,,Representative,,NJ
Person,Rand Paul,Q463557,,,,Senator,,KY
Person,Erik Paulsen,Q466085,,,,Representative,,MN
Person,Stevan Pearce,Q1206411,,,,Representative,,NM
Person,Nancy Pelosi,Q170581,,,,Representative,,CA
Person,Ed Perlmutter,Q331507,,,,Representative,,CO
Person,Gary C. Peters,Q1494930,,,,Senator,,MI
Person,Collin C. Peterson,Q434458,,,,Representative,,MN
Person,Chellie Pingree,Q457243,,,,Representative,,ME
Person,Ted Poe,Q532661,,,,Representative,,TX
Person,Jared Polis,Q935734,,,,Representative,,CO
Person,Mike Pompeo,Q473239,,,,Representative,,KS
Person,Rob Portman,Q926069,,,,Senator,,OH
Person,Bill Posey,Q862373,,,,Representative,,FL
Person,David E. Price,Q440646,,,,Representative,,NC
Person,Tom Price,Q358109,,,,Representative,,GA
Person,Mike Quigley,Q11776365,,,,Representative,,IL
Person,Tom Reed,Q2440035,,,,Representative,,NY
Person,David G. Reichert,Q456464,,,,Representative,,WA
Person,James B. Renacci,Q976676,,,,Representative,,OH
Person,Cedric L. Richmond,Q561284,,,,Representative,,LA
Person,Martha Roby,Q439117,,,,Representative,,AL
Person,David P. Roe,Q1665842,,,,Representative,,TN
Person,Harold Rogers,Q5662228,,,,Representative,,KY
Person,Mike Rogers,Q693238,,,,Representative,,AL
Person,Dana Rohrabacher,Q983055,,,,Representative,,CA
Person,Todd Rokita,Q1521384,,,,Representative,,IN
Person,Thomas J. Rooney,Q506110,,,,Representative,,FL
Person,Ileana Ros-Lehtinen,Q265791,,,,Representative,,FL
Person,Peter J. Roskam,Q968214,,,,Representative,,IL
Person,Dennis A. Ross,Q1188940,,,,Representative,,FL
Person,Lucille Roybal-Allard,Q469115,,,,Representative,,CA
Person,Edward R. Royce,Q1282477,,,,Representative,,CA
Person,Marco Rubio,Q324546,,,,Senator,,FL
Person,C. A. Dutch Ruppersberger,Q981559,,,,Representative,,MD
Person,Bobby L. Rush,Q888599,,,,Representative,,IL
Person,Paul D. Ryan,Q203966,,,,Representative,,WI
Person,Tim Ryan,Q7804210,,,,Representative,,OH
Person,Gregorio Kilili Camacho Sablan,Q3116336,,,,Representative,,MP
Person,John P. Sarbanes,Q984509,,,,Representative,,MD
Person,Steve Scalise,Q1857141,,,,Representative,,LA
Person,Janice D. Schakowsky,Q440885,,,,Representative,,IL
Person,Adam B. Schiff,Q350843,,,,Representative,,CA
Person,Kurt Schrader,Q1387868,,,,Representative,,OR
Person,Charles E. Schumer,Q380900,,,,Senator,,NY
Person,David Schweikert,Q1176561,,,,Representative,,AZ
Person,Austin Scott,Q4823273,,,,Representative,,GA
Person,David Scott,Q278656,,,,Representative,,GA
Person,"Robert C. ""Bobby"" Scott",Q888668,,,,Representative,,VA
Person,Tim Scott,Q561315,,,,Senator,,SC
Person,"F. James Sensenbrenner, Jr.",Q952268,,,,Representative,,WI
Person,José E. Serrano,Q460267,,,,Representative,,NY
Person,Pete Sessions,Q437852,,,,Representative,,TX
Person,Terri A. Sewell,Q461621,,,,Representative,,AL
Person,Richard C. Shelby,Q472254,,,,Senator,,AL
Person,Brad Sherman,Q672919,,,,Representative,,CA
Person,John Shimkus,Q1701747,,,,Representative,,IL
Person,Bill Shuster,Q862455,,,,Representative,,PA
Person,Michael K. Simpson,Q549521,,,,Representative,,ID
Person,Albio Sires,Q527509,,,,Representative,,NJ
Person,Louise McIntosh Slaughter,Q299833,,,,Representative,,NY
Person,Adam Smith,Q350916,,,,Representative,,WA
Person,Adrian Smith,Q212070,,,,Representative,,NE
Person,Christopher H. Smith,Q981167,,,,Representative,,NJ
Person,Lamar Smith,Q6480915,,,,Representative,,TX
Person,Jackie Speier,Q218544,,,,Representative,,CA
Person,Steve Stivers,Q324099,,,,Representative,,OH
Person,Linda T. Sánchez,Q291143,,,,Representative,,CA
Person,Bennie G. Thompson,Q817877,,,,Representative,,MS
Person,Mike Thompson,Q1323196,,,,Representative,,CA
Person,Glenn Thompson,Q5569144,,,,Representative,,PA
Person,Mac Thornberry,Q539444,,,,Representative,,TX
Person,John Thune,Q462981,,,,Senator,,SD
Person,Patrick J. Tiberi,Q603467,,,,Representative,,OH
Person,Scott R. Tipton,Q782994,,,,Representative,,CO
Person,Paul Tonko,Q1373548,,,,Representative,,NY
Person,Patrick J. Toomey,Q971308,,,,Senator,,PA
Person,Niki Tsongas,Q440246,,,,Representative,,MA
Person,Michael R. Turner,Q505722,,,,Representative,,OH
